client_id,first_name,last_name,address,email,phone_number,account_creation_date,account_status
9ff9fc8e-6578-4cfc-b092-aaa61a9f3c33,Justin,Fischer,"180 Murphy Walks, Port Sherryberg, VI 68564",christinafoley@example.com,(584)457-9086x40098,2017-09-18,suspended
573f50be-1d11-4d97-9d88-e0321cd26451,Michael,Fernandez,"5826 Jay Inlet Apt. 402, Walkerhaven, CA 47326",adamsdennis@example.net,330.243.6146,2015-11-21,closed
be11cb37-8fa3-46ce-8393-776a5563ca6e,Jasmine,Parker,"437 Martin Plaza, Perryhaven, NH 63879",jlarsen@example.net,552.779.0802,2024-01-31,closed
8aa2ae4a-51d7-4ded-b616-aebf4eb39f18,Hannah,Silva,"3549 Michael Trail, Valdezbury, NE 40938",jbeasley@example.net,970.748.0362,2018-06-12,inactive
6754d898-a5c6-48ab-a191-3804b46d9ad6,Brittany,Jackson,"1100 Paula Trail, West Dawnburgh, NC 35674",rosskristen@example.com,001-347-291-7729,2023-06-03,inactive
2a039bfc-bafb-4ebe-9ab9-d293ac2a5599,Sara,Kim,"43941 Cruz Vista, Pamelastad, GA 27068",sjensen@example.org,939.993.6874,2024-07-18,inactive
09a89c20-223c-485a-935f-8f4f92854183,Latasha,Merritt,"2940 Davis Shore Apt. 750, Lake Andreaberg, WY 68917",melissabryan@example.com,+1-312-720-4972x554,2022-08-24,inactive
c5eba5a2-3e80-4637-8add-fb30eddb5f73,Denise,Williams,"82288 Billy Mews Suite 052, Hansenbury, NJ 07224",alfredbean@example.net,001-790-939-7813x561,2022-04-20,closed
29d2f239-1b78-4b0f-84ef-65e2dbeb8a47,Lynn,Bryant,"9897 Brian Village Apt. 530, Valerieberg, PW 51466",josephjackson@example.net,+1-428-723-5264,2022-08-17,closed
88646430-16d2-4af5-9177-7873785fd432,Jamie,Lee,"USNV Herrera, FPO AA 12742",pollardlisa@example.net,(534)630-1294,2018-06-11,suspended
255c199b-1a40-4797-96b5-d7865f47698a,William,Miles,"252 Crystal Place, West Davidton, AZ 28290",jjones@example.net,+1-712-962-2535x316,2020-08-17,closed
81058eab-a192-4d84-b82d-161149b3b5ff,Jonathan,Martin,"0585 Reeves Coves, Hintonberg, AR 37864",joneskristin@example.com,001-628-458-4143x88349,2022-10-17,inactive
6a328726-635f-4c50-a911-cab4270bdcc4,Heather,Martin,"202 Bradley Points Apt. 538, East Kenneth, VT 67431",hernandeznorman@example.org,001-619-404-3542,2019-06-29,inactive
d172582c-84b4-4fb3-9a42-eff7086233ac,Regina,Lawson,"7686 Williams Gardens, Michaelmouth, DC 76786",sonialuna@example.org,+1-288-672-1457x19856,2020-01-06,closed
442dac63-1870-4809-88ea-10731d1882d0,Mark,Campbell,"329 Campbell Estate Suite 904, Shermanbury, MD 41383",roseamy@example.com,+1-481-792-8797x0262,2020-08-06,active
d2c9d46d-962d-405d-80f8-16f063ce8ea4,Erica,Davis,"41654 Oliver Unions Suite 943, Lake Brendafort, NM 72089",thomas84@example.com,278-825-9816x215,2020-03-23,suspended
b646e4e9-bfde-4b17-b6cc-59af56b434cc,Emma,Johnson,"8840 Lisa Greens, West Jamesview, TX 10349",jeffreycastillo@example.net,804-488-3267,2015-09-19,active
4142eeb4-56d1-47ff-909a-182ce2f9188b,David,Schroeder,"52405 Shannon Crossing Apt. 400, Carpenterchester, IN 69064",downsnicole@example.com,001-436-881-9788,2018-10-18,inactive
e855c22e-2867-48bb-b7de-7ab071bf9621,Phillip,Nichols,"12863 Welch Brooks, South Brianview, PA 99104",cflores@example.net,001-723-351-3272x9233,2021-09-01,active
b356ba10-497d-4b26-ad45-6273cda7ebf0,William,Wilson,"75712 Christina Village, East Haley, TN 67608",clarkdavid@example.com,(287)706-0555x3507,2024-10-10,active
b45e5ff7-2345-4b1c-850c-5b82b3317546,Ryan,Williams,"98764 Jeremy Track Suite 169, West Tylerville, FM 85910",scott33@example.org,001-864-934-8823x7583,2020-02-20,suspended
2fc73825-46f2-41fa-9ae3-1b9e74c59ee2,John,Anderson,"4874 Price Cliffs Apt. 788, New Robert, AR 93661",heidi63@example.com,789.465.4384x462,2018-05-07,closed
bc4f886f-cdde-4e0f-8537-57e9a9619cc0,Michael,Farrell,"548 Williams Street, Timothychester, PW 81372",alexander87@example.net,592.812.2336x5806,2017-02-19,active
86c289ee-320b-4f26-8702-de7f0dbcdcba,Ashley,Hawkins,"0416 Lopez Harbors Suite 734, Lake Sheri, AR 63844",eric69@example.com,4384675841,2021-01-18,closed
386d17f1-4e10-40c9-b1c4-abf99fab3554,Diane,Moreno,"268 Jill Union, South Kevinhaven, NC 71874",vmcbride@example.org,5296831241,2024-04-01,closed
b84925c2-6cd7-4070-8685-32162758e922,Steven,Miranda,"61464 Mark Fall Suite 948, Scottmouth, IN 02075",jason39@example.com,364-762-8022x547,2015-03-25,active
a5c7ca7c-3e70-490c-9137-8263092230b0,Kristine,Allen,"48202 Patrick Key Apt. 928, Buckleyhaven, MO 15011",kellychristian@example.com,431-332-0301x3816,2016-10-01,active
9427358b-0ffb-41be-bc24-dad2df72e0e4,Keith,Dyer,"342 Katherine Junctions, Williamsfurt, RI 65944",qestrada@example.net,311.993.5107,2024-07-06,active
acd70440-8a94-4511-9810-51e374e1ff43,Joseph,Wagner,"91914 Heidi Run Apt. 511, Hallfort, VT 58900",christopher80@example.net,319.674.9933,2022-02-11,closed
